symbol,industry,sector,cmp,marketCap,sum,priceToEarnings,priceToEarningsDecile,priceToBook,priceToBookDecile,priceToSales,priceToSalesDecile,priceToCashflow,priceToCashflowDecile,enterpriseToEbitda,enterpriseToEbitdaDecile,dividendYield,dividendYieldDecile,return1M,return6M,return12M
DCMNVL,Textile Manufacturing,Consumer Cyclical,126.6,237,16,7.75,1,1.28,3,0.45,1,8.17,3,6.35,2,0,6,55.34,339.58,462.67
RELINFRA,Utilities - Independent Power Producers,Utilities,60.4,1586,7,1.41,1,0.15,1,0.1,1,1.1,1,3.3,1,1.42,2,42.45,177.7,246.13
RPOWER,Utilities - Independent Power Producers,Utilities,8.65,2427,13,10.61,2,0.2,1,0.33,1,0.58,1,7.3,2,0,6,78.35,170.31,343.59
TNPETRO,Specialty Chemicals,Basic Materials,101.25,911,14,7.22,1,1.54,4,0.8,3,9.84,4,4.11,1,1.43,1,39.85,135.19,195.62
MBLINFRA,Engineering & Construction,Industrials,21.5,226,16,3.55,1,0.27,1,1.11,3,6.69,3,6.26,2,0,6,20.79,127.51,321.57
AGARIND,Specialty Chemicals,Basic Materials,205.5,211,10,5.2,1,1.08,3,0.23,1,4.26,2,4.55,1,0.73,2,35.46,124.59,292.55
SAIL,Steel,Basic Materials,121.2,50062,12,12.07,2,1.1,3,0.73,2,2.14,1,6.19,2,0.83,2,1.42,123.41,297.38
MANALIPETC,Specialty Chemicals,Basic Materials,80,1376,16,6.84,1,2.02,5,1.35,4,6.29,3,3.95,1,0.94,2,1.46,120.69,414.47
KIRLOSIND,Metal Fabrication,Industrials,1794.45,1743,14,10.94,2,1,2,0.87,3,6.81,3,5.94,2,0.78,2,37.23,116.26,254.74
ADSL,Information Technology Services,Technology,62.45,317,15,17.59,3,0.67,2,0.88,3,6.41,3,6.7,2,0.79,2,30.65,112.41,309.51
VEDL,Other Industrial Metals & Mining,Basic Materials,268.25,99723,12,8.86,1,1.71,4,1.15,3,3.37,2,5.8,1,3.53,1,4.28,112.22,186.44
GPIL,Steel,Basic Materials,231.1,3258,14,5.03,1,1.6,4,0.83,3,3.36,2,3.51,1,0.54,3,-1.05,104.89,651.54
DHAMPURSUG,Confectioners,Consumer Defensive,320.4,2128,12,9.28,1,1.36,3,1.05,3,2.42,1,8,3,1.87,1,41.36,104.01,206.9
MANGCHEFER,Agricultural Inputs,Basic Materials,82.05,973,14,14.5,3,1.6,4,0.45,1,1.01,1,7.07,2,0.61,3,4.46,99.64,114.51
NITINSPIN,Textile Manufacturing,Consumer Cyclical,117.85,663,13,9.62,2,1.18,3,0.41,1,4.28,2,6.38,2,0.51,3,34.15,99.58,271.77
KAMDHENU,Steel,Basic Materials,83.27,225,14,14.82,3,1.15,3,0.36,1,4.47,2,7.51,2,0.6,3,-1.49,92.98,196.33
ZEEMEDIA,Broadcasting,Communication Services,9.35,585,16,6.28,1,1.1,3,0.9,3,4.75,2,4.36,1,0,6,44.96,92.78,78.1
DEEPAKFERT,Chemicals,Basic Materials,286.15,2939,10,7.3,1,1.09,3,0.57,2,2.36,1,5.61,1,0.9,2,9.7,86.3,182.28
SCI,Marine Shipping,Industrials,113.05,5266,13,7.57,1,0.64,1,1.43,4,3.93,2,6.07,2,0.66,3,8.23,85.63,130.48
REDINGTON,Information Technology Services,Technology,123.3,9599,15,12.69,2,1.94,4,0.17,1,2.74,1,5.22,1,0,6,38.2,82.32,162.51
TATASTEEL,Steel,Basic Materials,110.09,132433,15,17.26,3,1.78,4,0.85,3,2.99,1,7.18,2,0.87,2,6.47,77.31,249.27
PNBGILTS,Capital Markets,Financial Services,75.75,1364,13,3,1,1.04,2,1.28,4,0.55,1,11.1,4,13.2,1,45.53,77.19,183.18
BCG,Advertising Agencies,Communication Services,4.2,445,10,0.92,1,0.14,1,0.16,1,0.97,1,0.36,1,0,5,14.44,76.47,21.39
BANSWRAS,Textile Manufacturing,Consumer Cyclical,73.6,252,14,17.36,3,0.71,2,0.32,1,1.9,1,5.22,1,0,6,41.67,73.67,98.22
NATIONALUM,Aluminum,Basic Materials,72.35,13289,15,10.38,2,1.24,3,1.5,4,6.04,3,6.84,2,3.47,1,11.91,72.06,141.57
