Symbol,Buy Date,Buy Price,Quantity,Current Date,CMP,Days,Gain %,CAGR %
KIRLOSIND,2023-06-01,2655.15,15,2024-06-23,6151.65,388,131.69,120.43
OIL,2023-06-01,254.25,157,2024-06-23,699.80,388,175.24,159.21
IOC,2023-06-01,90.50,441,2024-06-23,166.62,388,84.11,77.57
ELECTCAST,2023-06-01,46.90,852,2024-06-23,178.24,388,280.04,251.12
GAIL,2023-06-01,105.35,379,2024-06-23,214.76,388,103.85,95.43
PDMJEPAPER,2024-06-05,89.45,447,2024-06-23,109.03,18,21.89,5435.96
NATIONALUM,2024-06-05,176.15,227,2024-06-23,193.98,18,10.12,606.51
ZUARIIND,2024-06-05,278.95,143,2024-06-23,346.30,18,24.14,7928.11
KSL,2024-06-05,781.70,51,2024-06-23,905.05,18,15.78,1851.30
MRPL,2024-06-05,199,201,2024-06-23,212.66,18,6.86,284.29
SMCGLOBAL,2024-06-05,160.45,249,2024-06-23,171.97,18,7.18,307.97
SAIL,2024-06-05,145.55,274,2024-06-23,155.44,18,6.79,279.26
NDL,2024-06-05,40.40,990,2024-06-23,48.19,18,19.28,3470.94
KCP,2024-06-05,201.25,198,2024-06-23,245.38,18,21.93,5471.64
CENTENKA,2024-06-05,593.10,67,2024-06-23,629.05,18,6.06,229.80
MAHABANK,2024-06-05,63.65,628,2024-06-23,65.17,18,2.39,61.37
PETRONET,2024-06-05,287.75,139,2024-06-23,320.25,18,11.29,775.76
GOACARBON,2024-06-05,737,54,2024-06-23,826.80,18,12.18,929.27
HINDPETRO,2024-06-05,336.83,118,2024-06-23,340.85,18,1.19,27.20
HINDALCO,2024-06-05,695.25,57,2024-06-23,684.50,18,-1.55,-27.09
BALMLAWRIE,2024-06-05,229.50,174,2024-06-23,266.25,18,16.01,1932.62
IMFA,2024-06-05,690.60,57,2024-06-23,795.05,18,15.12,1639.20
GULFOILLUB,2024-06-05,876.25,45,2024-06-23,1012.60,18,15.56,1777.78
CANBK,2024-06-05,115.20,347,2024-06-23,119.12,18,3.40,97.10
COALINDIA,2024-06-05,460.55,86,2024-06-23,480.20,18,4.27,133.32
